id,latitude,longitude,price,minimum_nights,reviews_per_month,rate,num_bedroom,num_skytrain,num_bustop,num_restaurant,num_parks,num_market,dis_skytrain,dis_bustop,dis_restaurant,dis_parks,dis_market
40558106,49.27797,-123.10778,455,1,1.69,4.86,1,8,27,21,7,1,193.77,51.46,157.17,186.72,220.1
40558597,49.27521,-123.1258,219,30,0.23,4.78,1,2,31,76,7,7,292.29,126.02,78.35,201.14,74.6
40574243,49.27495193481445,-123.11550903320312,138,30,0.61,4.96,1,5,16,54,5,2,466.29,79.0,77.72,150.86,351.95
40598139,49.26419,-123.1625,130,30,2.18,4.8,1,0,17,12,2,3,3162.14,52.01,72.42,294.16,274.65
40725953,49.23642,-123.14939,191,4,2.72,4.97,1,0,13,6,1,0,2406.97,226.66,341.67,306.13,654.9
40739652,49.279301,-123.107849,337,2,3.34,4.81,2,8,33,40,9,3,106.6,59.23,32.78,212.68,73.6
40753633,49.2787,-123.1082,423,3,1.97,4.98,2,8,30,28,9,2,111.89,22.16,93.46,217.03,137.47
40764823,49.28018,-123.12492,168,1,3.58,4.28,1,4,37,91,5,5,522.69,65.51,16.37,107.25,226.13
40807546,49.25216,-123.06954,129,2,0.74,4.74,2,0,11,5,1,1,1067.8,235.67,433.45,492.49,441.9
40823628,49.22242,-123.03963,121,2,2.01,4.49,1,0,13,1,2,2,1864.79,136.31,360.76,330.87,326.22
40838933,49.27407,-123.11607,156,30,0.31,5.0,1,4,15,44,6,2,426.5,70.5,183.77,95.43,312.98
40845642,49.25351,-123.09036,88,30,0.52,4.67,1,0,12,16,1,0,1593.52,26.12,54.35,392.62,653.26
40846181,49.28037,-123.12376,221,2,3.54,4.88,1,5,41,98,4,4,439.5,96.41,62.31,181.9,221.84
40904332,49.27087,-123.16124,92,30,0.3,4.91,1,0,9,17,3,2,2882.75,222.9,329.06,374.37,407.49
40923455,49.26656,-123.04253,100,1,0.44,4.94,2,2,9,6,1,1,869.52,129.08,246.47,366.37,385.96
40975203,49.24979,-123.08577,120,3,0.24,5.0,2,0,14,16,1,2,1805.44,146.19,297.5,209.79,443.08
40988960,49.28038,-123.10965,555,3,2.26,4.73,3,7,45,57,9,3,111.93,116.04,30.1,173.84,120.34
41129773,49.25263,-123.16957,80,1,0.12,3.0,3,0,10,1,2,0,3919.44,145.65,250.54,462.5,647.03
41146963,49.26973724365234,-123.18148040771484,170,3,1.95,4.97,2,0,9,4,4,2,4355.09,125.8,153.16,188.13,119.89
41194048,49.28399,-123.10693,354,7,1.96,5.0,1,7,37,52,5,3,383.4,40.78,73.39,299.17,160.23
41207084,49.23342,-123.16456,95,2,2.34,4.94,2,0,8,8,1,2,3481.2,151.36,229.32,85.99,367.9
41212789,49.2785,-123.12088,267,2,3.25,4.73,1,6,46,126,6,5,446.83,63.94,92.51,176.94,60.86
41219145,49.24762,-123.03017,120,2,0.46,4.53,3,0,13,4,1,0,1034.77,256.41,376.26,411.1,1090.2
41220326,49.22061,-123.05217,50,1,0.15,5.0,2,0,13,0,0,0,2472.34,190.75,542.09,733.58,570.71
41244337,49.26694,-123.13986,130,30,0.22,4.56,1,0,28,33,5,1,1552.65,64.06,65.44,129.76,237.65
41245168,49.26847,-123.13823,130,30,0.14,5.0,1,0,16,14,9,1,1363.1,107.4,102.28,150.09,343.83
41269818,49.2822,-123.12517,165,3,3.11,4.85,1,5,36,95,4,4,475.47,27.19,46.41,192.49,17.55
41293218,49.2368,-123.18303,330,2,2.22,4.85,2,0,19,4,0,1,4744.86,159.72,162.48,696.42,205.7
41302900,49.21479,-123.13701,305,1,6.91,4.77,4,0,12,12,1,0,1564.6,237.53,265.8,406.16,676.04
41339736,49.27902,-123.12517,282,1,3.13,4.6,1,4,33,100,3,6,551.84,85.24,78.7,193.63,255.9
41343663,49.27775,-123.10691,264,1,2.35,4.78,1,7,22,22,8,1,252.82,58.97,182.88,144.78,258.82
41357570,49.24113,-123.10166,271,1,4.11,4.5,2,0,12,8,3,1,1363.25,31.16,8.46,233.39,418.44
41404879,49.26209,-123.07344,62,30,0.09,4.67,1,3,25,14,3,1,314.84,24.38,192.1,113.29,420.34
41411519,49.23564,-123.08205,134,1,1.71,4.94,1,0,13,0,0,0,2361.29,342.56,640.15,571.92,954.16
41530441,49.26732,-123.09615,231,2,5.01,4.98,1,2,13,10,3,0,719.47,69.58,338.1,54.53,552.36
41538497,49.24804,-123.08943,106,16,1.08,4.84,2,0,14,9,0,2,1920.41,59.18,71.67,502.42,389.07
41560049,49.28668,-123.1248,239,1,3.84,4.58,1,6,35,78,6,4,379.72,26.82,29.83,26.36,80.41
41561238,49.27832,-123.12204,223,2,2.86,4.75,1,5,38,130,7,6,420.7,60.62,55.46,239.43,43.88
41586791,49.24338,-123.10025,135,5,0.93,4.97,1,0,11,18,1,2,1301.67,73.98,64.96,315.62,193.57
41616532,49.2461,-123.0699,550,4,0.32,4.85,5,0,15,12,2,1,1038.75,107.88,104.59,305.59,281.27
41642905,49.21595,-123.05261,199,2,0.13,4.25,2,0,8,0,1,0,2919.49,224.91,916.91,360.1,965.16
41646355,49.23472,-123.05742,525,3,1.18,4.93,5,0,15,0,0,0,1345.34,154.86,567.29,550.77,660.21
41647382,49.27475,-123.12501,259,4,2.24,4.77,1,2,25,74,6,7,226.49,139.37,52.2,160.04,72.99
41663354,49.23671,-123.09906,129,30,0.16,5.0,2,0,16,1,1,0,1334.38,212.23,452.31,152.27,927.94
41696939,49.26169,-123.11032,116,30,3.21,4.55,2,2,20,27,2,4,329.85,173.26,179.28,226.72,382.58
41723288,49.27387,-123.13053,149,30,0.37,4.93,1,1,16,31,6,3,630.11,159.35,66.49,176.26,166.91
41774537,49.2451,-123.08919,160,2,1.54,4.83,2,0,10,6,0,2,1986.13,108.92,99.23,547.74,83.49
41800834,49.287289,-123.123894,521,2,0.74,4.87,2,6,35,75,6,3,348.26,99.39,20.28,120.59,151.34
41856324,49.26619081259344,-123.1475665057771,223,3,2.61,4.95,1,0,14,32,3,2,2080.35,237.55,163.79,322.69,334.58
41884019,49.26581100310021,-123.11313822480064,900,1,2.57,5.0,4,2,18,30,2,2,203.64,149.4,163.31,160.95,149.67
41884419,49.28009,-123.10731,994,2,2.44,4.93,3,8,38,54,9,3,164.29,76.16,33.33,171.36,62.43
41917935,49.27944,-123.10799,150,1,0.24,4.5,1,8,35,41,9,3,95.94,74.7,43.16,219.6,56.14
41934194,49.26099,-123.07537,130,30,0.45,4.72,1,3,21,10,4,0,463.79,156.81,357.61,87.2,605.58
41939547,49.27495,-123.11551,115,30,0.18,4.71,1,5,16,54,5,2,466.2,78.84,77.95,150.7,351.85
41958233,49.27898847786662,-123.09916601989752,260,2,3.25,4.67,2,3,36,37,5,1,590.53,34.52,34.89,289.84,267.8
41959500,49.28307,-123.11949,264,10,1.12,4.89,1,8,60,97,5,6,91.32,22.39,47.64,97.6,201.65
41980676,49.27719,-123.09892,253,5,3.16,4.86,2,3,53,32,7,1,390.53,138.07,106.4,222.52,463.01
41985578,49.27891,-123.10844,614,4,1.91,4.89,3,8,33,34,9,3,83.29,41.21,81.06,195.69,116.13
41998709,49.26334,-123.19658,139,3,3.05,4.88,2,0,10,0,1,0,5559.33,24.3,674.81,414.3,912.58
42002656,49.27764,-123.11947,142,30,0.2,4.86,1,6,37,117,6,6,387.57,196.8,68.17,77.02,195.85
42004464,49.24854,-123.0455,233,4,2.1,4.83,2,2,19,1,2,0,482.63,225.71,344.27,163.89,1258.78
42019705,49.28462,-123.11235,259,90,0.1,5.0,2,7,56,54,3,3,134.19,20.06,45.77,256.6,219.87
42025390,49.27789,-123.09292,288,2,0.56,5.0,2,2,17,13,4,0,583.91,153.17,308.29,339.63,668.46
42044088,49.28763,-123.12287,376,3,2.41,4.75,2,6,33,79,6,3,313.42,58.57,34.83,201.71,176.59
42052666,49.28033,-123.10778,321,2,4.14,4.83,2,7,39,56,9,3,151.9,42.52,27.87,211.22,50.95
42069280,49.27274,-123.12007,233,30,0.22,5.0,2,2,17,44,7,4,240.16,113.22,66.7,149.22,105.04
